Age,WAR,G,PA,R,H,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
29,0.9,83,308,36,67,7,24,9,26,61,0.240,0.308,0.387,0.696,88,108
28,0.9,91,360,47,71,13,37,26,37,105,0.223,0.303,0.395,0.698,94,126
29,0.9,73,257,18,54,6,24,0,28,63,0.238,0.319,0.361,0.680,86,82
22,0.8,89,346,41,73,13,49,1,31,101,0.236,0.303,0.421,0.724,104,130
27,0.8,91,387,51,88,6,41,7,42,50,0.262,0.346,0.357,0.703,93,120
26,0.8,58,235,31,61,8,28,0,12,61,0.275,0.311,0.468,0.779,119,104
31,0.8,62,219,23,57,5,18,0,12,32,0.288,0.343,0.404,0.747,103,80
28,0.8,53,236,31,49,7,22,15,35,52,0.251,0.373,0.421,0.793,121,82
32,0.8,82,339,49,88,16,63,1,26,74,0.288,0.351,0.487,0.838,128,149
28,0.8,72,305,36,64,12,42,1,28,96,0.239,0.322,0.455,0.778,118,122
26,0.8,43,141,19,39,2,17,3,14,31,0.307,0.376,0.417,0.793,125,53
26,0.8,70,212,24,52,7,35,2,4,42,0.254,0.269,0.405,0.674,87,83
25,0.8,89,355,39,92,0,17,22,18,33,0.279,0.314,0.339,0.654,82,112
24,0.8,69,220,24,45,3,19,2,22,66,0.234,0.313,0.318,0.631,77,61
35,0.8,60,191,18,38,5,22,1,14,32,0.220,0.277,0.341,0.618,73,59
27,0.8,88,351,46,100,5,33,6,14,34,0.302,0.333,0.429,0.762,116,142
27,0.8,52,156,15,36,7,31,3,13,32,0.261,0.323,0.471,0.794,117,65
22,0.8,30,130,12,25,1,5,2,20,33,0.229,0.354,0.321,0.675,95,35
28,0.8,62,227,30,58,15,38,1,13,58,0.278,0.326,0.574,0.900,130,120
27,0.7,59,205,26,43,4,29,1,21,26,0.246,0.338,0.411,0.750,113,72
30,0.7,51,157,16,35,6,18,0,11,32,0.248,0.318,0.426,0.744,106,60
30,0.7,90,322,35,62,14,40,4,38,70,0.221,0.323,0.425,0.748,107,119
27,0.7,46,118,15,30,7,19,0,10,29,0.286,0.356,0.552,0.908,160,58
24,0.7,56,147,20,32,4,20,4,12,27,0.246,0.322,0.415,0.737,106,54
30,0.7,44,96,18,22,5,18,1,6,27,0.256,0.309,0.465,0.774,116,40
,,,,,,,,,,,,,,,,
